,confirmed_daily_ehma,deaths_daily_ehma,recovered_daily_ehma,prevalence_daily_ehma,incidence_rate_ehma,mortality_ehma,cfr_daily_ehma,cfr_cumulative_ehma
2/28/21,398659.9664502601,10150.166939683926,245951.4448936294,46711315.9589489,5.0625055958744944,0.1289502121025668,2.5477987356052054,2.2921476406377135
3/1/21,396619.10693901964,9980.144605470292,245922.51045618055,46852245.4865467,5.0365213648047025,0.12670902871389908,2.516916530744457,2.292875417441846
3/2/21,395643.45464003884,9876.737198646973,246287.2787997116,46991917.91291426,5.0241376517818725,0.125264174269062,2.49624683831922,2.293537710831508
3/3/21,396470.82215577393,9813.098834570612,246277.42306270782,47132473.0067257,5.034718922654122,0.12439431419663202,2.47545949038908,2.294139912164103
3/4/21,399229.7018453392,9779.29505947968,246891.5278316547,47275190.20033918,5.069842692421734,0.12393554543669075,2.4522538686037225,2.2946871000643547
3/5/21,403225.4376364166,9758.328818051446,247819.2965107561,47420981.40198162,5.120574477794548,0.1237668407835796,2.4263026302975783,2.295184021021414
3/6/21,407174.0381630297,9718.011445520995,248560.59715056902,47570006.70266347,5.170813958021872,0.12332776911019942,2.396269671441277,2.2956350840367423
3/7/21,408864.05810228246,9602.781901152117,248996.45281607806,47720389.15339144,5.192430473883558,0.12200831507970085,2.358043916920309,2.296044364942738
3/8/21,408720.9606040034,9475.111647748525,250256.09059493383,47869485.449621454,5.19079446439227,0.12059330369984274,2.3264669620219425,2.2961799263494935
3/9/21,409998.14043110935,9415.205156532635,251494.2539313924,48018670.624833934,5.207105532322088,0.11985380394552786,2.303686090981915,2.296126357027201
3/10/21,414064.4650493323,9402.199949750639,252642.71131467048,48170777.575400084,5.258792566800342,0.11959060367154653,2.2796394624828022,2.2959455751520577
3/11/21,419981.75433435116,9424.448516171335,253810.1676470822,48327603.8709044,5.333999095279545,0.11989284440921537,2.2557711528048623,2.2956826395754724
3/12/21,427361.2697231507,9472.359399719586,255198.35125465711,48490366.12464327,5.427652131600885,0.12057206158831747,2.2316437646458134,2.295370094735934
3/13/21,434049.5465553836,9487.714582563609,256212.3396835927,48658780.55249196,5.512537472668676,0.12078427508560227,2.203902302521179,2.295031217079384
3/14/21,438744.14514250634,9476.091311382075,257464.1213720262,48830643.29862404,5.572025190092747,0.12067425469071738,2.1788377929570037,2.294682438767129
3/15/21,441519.44036726933,9432.604238692118,260133.15309644747,49002650.25059164,5.607201834805003,0.12011224539023933,2.1550040111874,2.294335155396567
3/16/21,444920.63138714235,9451.436873537574,263195.5769534726,49174972.11508728,5.650253982640874,0.12043490354500175,2.141524246181576,2.293997072679966
3/17/21,451586.0926612064,9491.488879220142,266983.35509696155,49350127.062163554,5.734880355566901,0.12087952345086367,2.121489835869867,2.293437517361463
3/18/21,460842.013204885,9567.283844867674,270613.0532614041,49530828.31692925,5.85235257552362,0.12186789348460544,2.099596312787128,2.292740705516831
3/19/21,471353.07243785216,9694.232332175186,275293.53717186674,49717229.46719847,5.985832665974527,0.12343802490010483,2.0823768074689206,2.2919670795262093
3/20/21,481160.70596304454,9792.623690451295,279179.0730443157,49909450.944206744,6.110306733717714,0.12465926352627373,2.0628459055057493,2.2911595078991644
3/21/21,488093.84670552606,9800.357833378408,282987.72634862846,50104786.11356695,6.198389198431723,0.12467195497770726,2.0358415613689353,2.2901122201315838
3/22/21,492124.268686329,9778.805098344406,286080.4330805773,50301077.77854225,6.249540382017125,0.12433477165028439,2.014060354225983,2.2889267785414096
3/23/21,496513.8673176395,9814.182671493456,289340.00300202897,50498461.58365423,6.305274327564526,0.1247106313823131,2.0017614385699667,2.2876754298337483
3/24/21,503676.42420897493,9911.674929605037,293750.11312220915,50698498.069007106,6.396275811225163,0.12579768826354876,1.9914798321459146,2.2864088040418458
3/25/21,513400.4888350086,10034.238485759413,297948.73804707185,50903935.37064289,6.519695543936707,0.12734223527590485,1.97833277135133,2.2851616538470068
3/26/21,523102.58798975963,10132.055093628778,301325.44035512814,51115598.386851646,6.642901219272514,0.12868976677984847,1.961663565647181,2.2837214366323
3/27/21,530099.6592891933,10179.809623941715,305143.55343956396,51330390.91696737,6.731710760449897,0.12940032531584428,1.9448801970709397,2.2821840149914974
3/28/21,535555.6043328446,10147.391298079756,308751.68814349733,51547062.145277016,6.800954368580774,0.12895437300211943,1.9189872135326322,2.2806167987086496
3/29/21,538352.8087009921,10080.744265988618,312123.30722011946,51763224.21972587,6.836419704722281,0.12796901278182005,1.895294206212262,2.278830590154298
3/30/21,541882.523884527,10091.383314908076,315777.62996217166,51979249.79206727,6.881100537678118,0.12805460575604288,1.8828459919953968,2.276937721037344
3/31/21,547138.1378750158,10222.76324346998,322208.45154609025,52193967.63975059,6.94772235408195,0.12980843547833137,1.884693329856621,2.2750170113647883
4/1/21,557517.7676885448,10408.12898061832,328298.5965209375,52412788.57660439,7.079530290902527,0.1321827684872471,1.8818308513151176,2.273122659172193
4/2/21,569041.9925559,10626.83502512078,335391.4904399588,52635821.20552909,7.225879029433815,0.1349226440250272,1.8807860022690461,2.271290859570423
4/3/21,579264.9811782119,10831.475194124172,341378.72755404597,52862884.10090415,7.355793912002088,0.1376105627559639,1.8814718635716783,2.269544725328546
4/4/21,589281.5430414187,10930.218581668665,349902.56951702473,53091340.20755606,7.483032271745897,0.13902138162591388,1.8679973141836916,2.2676622468895826
4/5/21,596664.6826248214,10973.20149320987,356749.3421590291,53320289.00514563,7.576699314964722,0.13976711495254968,1.8527633901464498,2.2657315191186114
4/6/21,605619.7877843297,11068.883110083747,364457.51368326176,53550388.427003585,7.690370910231178,0.14122193843801417,1.841407202089688,2.26381352141119
4/7/21,616550.9499309874,11205.083896114957,371636.4768904282,53784103.278446965,7.829093767625201,0.1431241528693514,1.8313029510379917,2.261713685753233
4/8/21,628800.5303862845,11355.36994973253,378228.11125830875,54023325.27495862,7.984628175957623,0.14504975243489648,1.8204017529414427,2.2595398200970003
4/9/21,642567.205900272,11505.176851700333,385672.84646829613,54268718.938455835,8.159465596531517,0.1469458527347409,1.8068592173561444,2.2573669024219027
4/10/21,655487.6345801268,11633.144246939126,393861.4639260221,54518716.02333552,8.323496624994522,0.14854153421086314,1.7925486980451049,2.2550101515432415
4/11/21,665316.0963618765,11661.286875430947,403815.54885793757,54768558.959818624,8.448273678703302,0.14895277125060513,1.7714544352876906,2.2525840705617926
4/12/21,672596.2425590523,11667.976290256329,413678.0223134153,55015812.5330825,8.540616621099606,0.1490211129724446,1.7533199224311815,2.25016807465057
4/13/21,681477.6479457857,11734.413334464582,424882.97100085317,55260675.81212646,8.653296436962352,0.1497976809970246,1.7397445776285168,2.2475801814254934
4/14/21,692407.5376708634,11850.688859289081,434554.75068190345,55506680.64140559,8.791983706332566,0.15127272985552767,1.7286434377063702,2.2449365138743147
4/15/21,704710.7787871413,11978.46931714023,445879.5769195419,55753535.84762276,8.948132899288552,0.1529517952895769,1.7168920516829616,2.242081577210947
4/16/21,717851.5849167862,12142.635896700258,458143.73019616195,56001103.30690515,9.115056156103677,0.1549655645091012,1.7080399085133717,2.239150415213596
4/17/21,729285.2810199934,12277.471469283824,469259.30349834013,56248853.84219378,9.26038069914645,0.15668785120845394,1.6992446193409434,2.236236558702781
4/18/21,737033.2695465538,12333.60528160306,478331.52689475537,56495223.81749128,9.358853943801108,0.15746447070783143,1.6881026483524793,2.2331674437728086
4/19/21,741165.5002583956,12355.153241301698,489420.97349969373,56734614.85566292,9.411395975081529,0.15781609196523172,1.6805787070996165,2.2300651991519937
4/20/21,746281.2395791234,12432.150798395767,501467.033683483,56966998.4184769,9.47651584896957,0.15881349096529232,1.6780467080052182,2.2270135668362916
4/21/21,753350.8395454823,12567.2493182389,511893.56386914925,57195889.810409725,9.566321757306019,0.1604617451614818,1.6784939942389845,2.2240682392706064
4/22/21,761468.9643212303,12733.776021096839,523582.1580128984,57421044.07753031,9.669365921797642,0.16251327273103397,1.680718854424859,2.2212645424233157
4/23/21,770045.1724543076,12886.615588135945,535364.2221755777,57642839.53245014,9.778267008614428,0.1643190066744925,1.6807990980385605,2.2183874440229316
4/24/21,776456.9696535724,12994.029958656782,546834.3699631332,57859469.11680005,9.859589988198916,0.16567952445597625,1.679892009577334,2.2155282950535096
4/25/21,778710.4253894466,13004.230584989431,558071.2781457617,58067104.95242239,9.888208697249613,0.16576278061210356,1.6750359410908606,2.212748726524415
4/26/21,778161.129138742,12980.066740098331,567717.6458422228,58264569.20130593,9.881294024129307,0.1654478216159234,1.6720899381436694,2.209853037455955
4/27/21,777948.1450606758,12989.081884057057,576372.2998554581,58453156.71848546,9.87868765541327,0.1655768537675957,1.6728677718500304,2.206946717285889
4/28/21,779313.1336352426,13040.338671773625,585482.8935956864,58633947.3026406,9.89603905679161,0.16624013555599554,1.6756854662840308,2.2041016747896243
4/29/21,782444.8444532596,13111.35116670461,593795.9143289428,58809485.500014886,9.93573061276407,0.16725069630420905,1.6774655044476328,2.201365312818189
4/30/21,785806.7687530338,13191.493702511802,601854.7861140716,58980246.54906596,9.978349019843423,0.16823765230099041,1.6799128613987886,2.1985315794447797
5/1/21,788149.2155882197,13249.174843374778,609901.6898288605,59145245.40729101,10.008045379320077,0.16894962127323335,1.6818130778443066,2.1956984908838515
5/2/21,786470.4429501774,13222.94889525569,616614.4928965676,59301878.86793118,9.98678238185543,0.16851524974003265,1.68141131263648,2.1929326136414513
5/3/21,781539.5329385789,13154.909285512382,621458.9657046729,59448804.94204313,9.924097796120115,0.16754810599298334,1.683226350652401,2.190277581753201
5/4/21,776876.2482263269,13132.638799357876,627803.0387386032,59584745.88966068,9.864921671551809,0.1671846119941367,1.6907469033471791,2.187760422979618
5/5/21,773487.2167589882,13141.276769388025,632577.9157629181,59712514.255281046,9.822015160743458,0.167239740112264,1.6993733190176055,2.1853962475394093
5/6/21,770270.8695233668,13154.067267264321,637177.5986049427,59832453.76814055,9.781272732480494,0.16734224504010342,1.708311931833564,2.1829560231782024
5/7/21,766655.2464364386,13159.784469714044,640966.0567893917,59944983.45337519,9.735418504649632,0.16747451674396516,1.717487633830118,2.18052165318924
5/8/21,761016.3342832879,13143.05025528725,643576.5546533255,60049280.43640439,9.663839217491848,0.16738820044068545,1.7292007251299586,2.1781486359034847
5/9/21,752132.7840902255,13064.698303768762,645911.4379807911,60142437.31395098,9.551017531664538,0.1664483607674877,1.7407115438755225,2.1758732249076855
5/10/21,741181.9591677396,12970.589141373364,649820.2537610024,60220828.638298124,9.411896523928213,0.1651865708581695,1.7565274776754478,2.1737177465095763
5/11/21,730878.4634358119,12932.714991127741,654674.3085410843,60284100.266666315,9.281051543660896,0.16467858507781483,1.7793732037881975,2.171694540106633
5/12/21,722492.7226661771,12919.344272901191,658993.4159763104,60334680.399780124,9.174467900555884,0.16445893489598098,1.8000921113419153,2.169808870232323
5/13/21,706421.5519599346,12916.405057681573,661401.6596835022,60366784.041603036,8.970209921203733,0.16444032594884142,1.8818074149044373,2.1682967622754052
5/14/21,693620.2552507537,12915.81306829504,661938.9209121384,60385549.70290201,8.80764923464442,0.16432303061101525,1.941751554865129,2.166838360379989
5/15/21,682066.4576638949,12880.745217539852,661239.0763586961,60393496.465816945,8.66098195525018,0.16390577202797188,1.9838440369297987,2.165450813819367
5/16/21,669493.7780712887,12785.821959587207,657009.8743689683,60393194.66243014,8.501463318981623,0.16282320331161204,2.013996390196318,2.1641441019751917
5/17/21,655805.388192738,12635.554009554242,653443.6557765192,60382920.944877684,8.327782614576824,0.16107851855998775,2.034855855534077,2.1629230985688346
5/18/21,643622.1463290289,12541.643495437702,649220.9272612474,60364780.614682324,8.173087062378814,0.15986794716585312,2.058338724576258,2.1617890942145146
5/19/21,633573.9013352937,12484.104973947266,644150.9191254912,60341719.577266596,8.045540106622592,0.15904872716097332,2.0788077479108575,2.160740915129152
5/20/21,624705.3062162206,12455.76450169092,641960.9415205831,60312008.25476264,7.932841816957251,0.158514657581867,2.0995753416551715,2.160011431986786
5/21/21,615871.633257463,12426.266023374792,638422.8438290673,60277030.84818199,7.8206303902905105,0.15795118531053046,2.1202919697929037,2.1595156299367875
5/22/21,606678.5123633811,12368.06330415534,632936.0651381098,60238405.295516744,7.703852299802661,0.15714532968950182,2.137421724504846,2.159190251358357
5/23/21,595325.528800684,12235.00300199301,625838.3906409771,60195657.48810969,7.55962001378991,0.15548674557749348,2.1493543010899687,2.1589883090833104
5/24/21,582704.8073909308,12061.228613948315,618738.5828441373,60147562.53606298,7.399194951347157,0.1532880004935284,2.1598321407567678,2.1588749757884473
5/25/21,571239.6972320898,12017.49286574966,613094.2207365222,60093690.566808954,7.253470573122788,0.1526596771006089,2.1940580640719247,2.1588245050931874
5/26/21,561480.8799339695,11985.627086129085,607263.268495168,60035922.593835846,7.1294160325600275,0.15217017542345393,2.2233398025504147,2.1588179260540237
5/27/21,552943.117387069,11920.905396924083,599105.321110959,59977839.52336607,7.02088428990028,0.15131512975854444,2.240559359834105,2.1588413173604786
5/28/21,544125.4061004984,11847.198468579103,591828.9237595986,59918288.84224556,6.908956706286232,0.15046761619598983,2.258606949287401,2.158884515993708
